Date,Reef,Location,Transect,Depth,Total Hard Coral (%),Acropora hyacinthus,Acropora florida,Acropora humilis,Acropora nasuta,Acropora intermedia,Acropora robusta,Acropora digitifera,Acropora millepora,Other Acropora,Acropora,Montipora ecnructing,Pocillopora spp.,Porites,Other HC,Soft coral
9-Dec-16,Rib Reef,Site A,A-01,6m,39,12,,,,4,,,,,16,,2,8,13,4
9-Dec-16,Rib Reef,Site A,A-02,3m,51,28,,3,2,,,2,,,35,8,2,4,2,
10-Dec-16,Rib Reef,Site B,B-01,6m,42,8,1,,4,2,,,2,,17,1,12,4,8,
10-Dec-16,Rib Reef,Site B,B-02,3m,74,62,,,,2,,3,,,67,7,,,,
4-Feb-17,Rib Reef,Site C,C-01,6m,34,5,,,,6,,,,6,17,,3,7,7,12
4-Feb-17,Rib Reef,Site C,C-02,6m,44,,,,,25,2,,,4,31,,4,3,6,6
4-Feb-17,Rib Reef,Site C,C-03,3m,55,44,,3,,,,,,1,48,5,2,,,
4-Feb-17,Rib Reef,Site C,C-04,3m,48,25,5,,,,6,,,,36,6,,4,2,
10-May-17,Rib Reef,Site D,D-02,3m,51,33,,5,2,1,,6,1,,48,2,1,,,1
10-May-17,Rib Reef,Site D,D-01,3m,21,,,5,1,4,1,5,3,,19,,1,,1,1
12-May-17,Rib Reef,Site E,E-01,3m,44,28,,,,2,,3,4,,37,,2,1,4,1
12-May-17,Rib Reef,Site E,E-02,6m,16,,3,,1,4,,,1,1,10,2,1,,3,4
