Reef,Location,Transect,Depth,Coral Cover,Diam_cm,Date,Time,Exposure,Behaviour,PreyItem,X_transect,Y _belt,Exposure_binary,Time_Cat
Rib Reef,Site A,A-01,6m,39,30,10/12/2016,11:30:00,100,Moving,,0.1,3.4,1,Midday
Rib Reef,Site A,A-01,6m,39,28,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,30,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,25,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,30,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,25,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,25,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,25,10/12/2016,11:30:00,0,Resting,,0.1,2,0,Midday
Rib Reef,Site A,A-01,6m,39,35,10/12/2016,11:30:00,100,Feeding,Acropora,14.4,-3,1,Midday
Rib Reef,Site A,A-01,6m,39,35,10/12/2016,11:30:00,50,Moving,,0.3,2.3,0,Midday
Rib Reef,Site A,A-01,6m,39,27,10/12/2016,11:30:00,100,Feeding,Acropora,12.1,1.5,1,Midday
Rib Reef,Site A,A-01,6m,39,53,10/12/2016,11:30:00,100,Feeding,A. hyacinthus,8.6,1.5,1,Midday
Rib Reef,Site A,A-01,6m,39,40,10/12/2016,11:30:00,100,Feeding,A. hyacinthus,18.6,1.5,1,Midday
Rib Reef,Site A,A-01,6m,39,40,10/12/2016,11:30:00,100,Feeding,A. hyacinthus,18.6,1.5,1,Midday
Rib Reef,Site A,A-01,6m,39,35,10/12/2016,11:30:00,0,Resting,,18.7,0,0,Midday
Rib Reef,Site A,A-01,6m,39,49,10/12/2016,11:30:00,100,Moving,,6.2,4.3,1,Midday
