site,transect,depth,subtrate,genus,sp if known,growth form
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Goniastrea,,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rubble,,,
Lankanfushi island,F-01,2,Live Coral,Pocillopora,verucosa,branching
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,macro algae,Halimeda,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Pocillopora,verucosa,branching
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Other,Sarcophyton,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Pavona,,encrusting
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Other,algal sp,,
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Rock,,,
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,F-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Pocillopora,verucosa,branching
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Rubble,,,
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Pavona,,encrusting
Lankanfushi island,G-01,2,Live Coral,Porites,,lutea
Lankanfushi island,G-01,2,Other,,,
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Montipora,,encrusting
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Live Coral,Porites,rus,branching
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Rubble,,,
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Dead Coral,,,
Lankanfushi island,G-01,2,Dead Coral,,,
Lankanfushi island,G-01,2,Live Coral,Pavona,,encrusting
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Rock,,,
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
Lankanfushi island,G-01,2,Live Coral,Porites,lutea,massive
